,reason1,reason2,reason3,reason4,month,week_day,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,0,1,7,2,1.0058443707754152,0.41281583670825295,-0.5360623885302863,-0.8063312930931505,0.7674311803407343,1,2,1,4
1,0,0,0,0,7,2,-1.5746809776571293,-1.1418824021228282,2.1308031731379447,-0.8063312930931505,1.0026333809705565,1,1,0,0
2,0,0,0,1,7,3,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,1,0,0,2
3,1,0,0,0,7,4,0.854936455662401,-1.682647006933639,0.4051842802937953,-0.8063312930931505,-0.643782023438199,1,2,0,4
4,0,0,0,1,7,4,1.0058443707754152,0.41281583670825295,-0.5360623885302863,-0.8063312930931505,0.7674311803407343,1,2,1,2
5,0,0,0,1,7,5,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,1,0,0,2
6,0,0,0,1,7,5,2.092381359589118,1.4943450463298746,-1.3204346125503543,-0.8063312930931505,0.061824578451267674,1,1,4,8
7,0,0,0,1,7,5,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,1,4,0,4
8,0,0,1,0,7,1,-1.0163216917389764,-1.2094779777241795,-0.37918794372627274,-0.8063312930931505,-0.4085798228083768,1,2,0,40
9,0,0,0,1,7,1,0.19094162916513804,-1.2770735533255309,0.09143539068576804,-0.8063312930931505,0.5322289797109121,0,1,1,8
10,1,0,0,0,7,1,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,1,4,0,8
11,1,0,0,0,7,2,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,1,4,0,8
12,1,0,0,0,7,3,0.5682114169476737,1.359153895127172,-0.06543905411824555,-0.8063312930931505,-0.8789842240680212,1,4,0,8
13,1,0,0,0,7,3,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,1,0,0,1
14,0,0,0,1,7,3,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,1,0,0,4
15,1,0,0,0,7,5,0.3569403357894538,-0.33073549490661197,0.7189331699018224,-0.8063312930931505,-0.8789842240680212,1,0,0,8
16,0,0,0,1,7,5,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,1,0,0,2
17,0,0,1,0,7,1,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-0.8063312930931505,1.0026333809705565,1,0,0,8
18,1,0,0,0,7,4,-0.5032347803547277,-0.060353192501206535,-0.5360623885302863,-0.8063312930931505,-0.4085798228083768,1,2,2,8
19,0,0,0,1,8,3,0.38712191881205665,-0.33073549490661197,1.6601798387259041,-1.647399128208504,1.2378355816003788,1,2,1,2
20,1,0,0,0,8,3,1.624566822738774,-0.9390956753187741,-1.3204346125503543,-1.647399128208504,-0.4085798228083768,0,0,0,8
21,1,0,0,0,8,1,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-1.647399128208504,1.0026333809705565,1,0,0,1
22,1,0,0,0,8,1,2.092381359589118,1.4943450463298746,-1.3204346125503543,-1.647399128208504,0.061824578451267674,1,1,4,40
23,0,0,0,1,8,5,0.5682114169476737,1.359153895127172,-0.06543905411824555,-1.647399128208504,-0.8789842240680212,1,4,0,4
24,0,0,1,0,8,1,1.0058443707754152,0.41281583670825295,-0.5360623885302863,-1.647399128208504,0.7674311803407343,1,2,1,8
25,0,0,0,1,8,1,2.092381359589118,1.4943450463298746,-1.3204346125503543,-1.647399128208504,0.061824578451267674,1,1,4,7
26,0,0,0,1,8,2,1.0058443707754152,0.41281583670825295,-0.5360623885302863,-1.647399128208504,0.7674311803407343,1,2,1,1
27,0,0,0,1,8,3,-0.9861401087163735,-0.19554434370390925,-1.1635601677463407,-1.647399128208504,-1.1141864246978435,1,0,0,4
28,0,0,1,0,8,3,1.0058443707754152,0.41281583670825295,-0.5360623885302863,-1.647399128208504,0.7674311803407343,1,2,1,8
29,0,0,0,1,8,5,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-1.647399128208504,1.0026333809705565,1,0,0,2
30,0,0,1,0,8,1,-0.6541426954677421,1.4267494707285233,0.24830983548978164,-1.647399128208504,1.0026333809705565,1,0,0,8
31,0,0,1,0,8,4,0.19094162916513804,-0.060353192501206535,1.8170542835299177,-1.647399128208504,1.473037782230201,1,1,5,8
